date_local,Region,Month,Year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM2.5 - Local Conditions,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH),Temp_Range,WindCategory,gis_acres,shape__area,shape__length,duration_days,normalized_intensity
2013-01-14,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0302635833333333,8.28175028179473,7.0,24.0,-9.1,2.3,0.0,80.0,84.0,69.0,233.0,1.7,54.7,2.3,33.1,Low,0.0,0.0,0.0,0.0,0.0
2013-01-14,3.0,1.0,2013.0,0.321066625,9.6494412,0.02486505,8.4375,28.9,45.2,15.0,16.5,0.0,59.0,87.0,30.0,319.0,3.2,94.4,3.9,30.200000000000003,Low,0.0,0.0,0.0,0.0,0.0
2013-01-14,4.0,1.0,2013.0,0.40466175,17.55751,0.018129,8.703240722222223,35.6,51.4,22.9,23.4,0.0,61.0,99.0,27.0,275.0,4.3,80.7,3.4,28.5,Low,0.0,0.0,0.0,0.0,0.0
2013-01-15,1.0,1.0,2013.0,0.653125,22.905797,0.0087321875,8.28175028179473,36.4,51.4,25.2,27.0,0.0,68.0,90.0,42.0,263.0,5.0,51.6,2.2,26.2,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-15,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0155148333333333,8.28175028179473,9.7,29.7,-3.9,5.1,0.0,81.0,85.0,65.0,226.0,1.9,38.0,1.6,33.6,Low,0.0,0.0,0.0,0.0,0.0
2013-01-15,3.0,1.0,2013.0,0.3152257499999999,9.6557072,0.0227322,5.564848499999999,35.2,56.5,19.5,17.7,0.0,48.0,79.0,19.0,321.0,3.4,98.1,4.1,37.0,Low,0.0,0.0,0.0,0.0,0.0
2013-01-15,4.0,1.0,2013.0,0.6389910000000001,27.0740115,0.0098405,12.756944444444445,38.1,57.0,24.6,26.6,0.0,63.0,100.0,31.0,268.0,4.9,61.7,2.6,32.4,Low,0.0,0.0,0.0,0.0,0.0
2013-01-16,1.0,1.0,2013.0,1.0018115,29.1173915,0.0073271874999999,29.133333333333336,38.7,57.9,25.9,29.8,0.0,70.0,91.0,40.0,281.0,5.6,49.4,2.1,32.0,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-16,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0207058333333333,6.533333333333334,11.6,35.0,-3.7,6.9,0.0,81.0,86.0,58.0,234.0,2.1,33.1,1.4,38.7,Low,0.0,0.0,0.0,0.0,0.0
2013-01-16,3.0,1.0,2013.0,0.340646875,10.9419876,0.0199183,5.506843833333333,41.9,70.0,23.1,23.7,0.0,48.0,82.0,19.0,325.0,4.3,89.3,3.7,46.9,Low,0.0,0.0,0.0,0.0,0.0
2013-01-16,4.0,1.0,2013.0,0.7847555,28.719763,0.006992875,21.09440557692308,40.8,61.9,25.4,29.8,0.0,65.0,100.0,33.0,277.0,5.6,72.8,3.0,36.5,Low,0.0,0.0,0.0,0.0,0.0
2013-01-17,1.0,1.0,2013.0,1.1735055,29.168297000000003,0.0060408125,33.4,39.6,59.4,26.1,30.8,0.0,71.0,93.0,36.0,287.0,5.8,49.9,2.1,33.3,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-17,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0186606666666666,8.28175028179473,12.1,34.3,-2.6,7.0,0.0,80.0,86.0,53.0,217.0,2.1,37.3,1.6,36.9,Low,0.0,0.0,0.0,0.0,0.0
2013-01-17,3.0,1.0,2013.0,0.3541865,11.2452172,0.02076985,4.801388888888889,46.6,74.1,26.5,20.1,0.0,35.0,72.0,11.0,337.0,3.7,124.9,5.2,47.6,Medium,0.0,0.0,0.0,0.0,0.0
2013-01-17,4.0,1.0,2013.0,0.8589720000000001,31.037253,0.006640875,19.45555555555556,43.8,67.1,27.0,32.4,0.0,64.0,100.0,29.0,280.0,6.2,90.7,3.8,40.1,Low,0.0,0.0,0.0,0.0,0.0
2013-01-18,1.0,1.0,2013.0,1.04107775,20.8043475,0.0100535625,8.28175028179473,42.0,60.5,30.3,30.6,0.0,64.0,90.0,32.0,292.0,5.8,100.3,4.2,30.2,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-18,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0148673333333333,8.28175028179473,9.8,37.7,-6.6,4.9,0.0,80.0,83.0,46.0,239.0,1.9,36.6,1.5,44.3,Low,0.0,0.0,0.0,0.0,0.0
2013-01-18,3.0,1.0,2013.0,0.32119825,10.7869564,0.0228961499999999,3.3099436111111107,44.3,71.2,26.3,21.2,0.0,39.0,66.0,12.0,337.0,3.9,94.3,3.9,44.900000000000006,Low,0.0,0.0,0.0,0.0,0.0
2013-01-18,4.0,1.0,2013.0,0.92250175,31.151407,0.00727125,21.65879633333333,44.9,68.5,27.0,33.7,0.0,65.0,100.0,30.0,284.0,6.6,82.9,3.5,41.5,Low,0.0,0.0,0.0,0.0,0.0
2013-01-19,1.0,1.0,2013.0,1.157654,20.2701085,0.010211875,19.65,41.4,61.7,26.6,28.5,0.0,60.0,87.0,26.0,295.0,5.3,92.5,3.9,35.1,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
