objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,shape__area,shape__length,duration_days,intensity,rescaled_intensity,geometry,Region,fire_season,normalized_intensity
679,2021.0,CDF,LNU,SPRING,2021-01-19 00:00:00+00:00,2021-01-19 00:00:00+00:00,1.017629,6736.79296875,334.090964204878,1,2.5344412964852645,4.0,POINT (-122.7 38.5),1,Off Season,0.029948749686753567
680,2021.0,CDF,LNU,GREEN,2021-05-08 00:00:00+00:00,2021-05-08 00:00:00+00:00,8.655844,58145.94140625,1538.64494774089,1,8.18751579924379,11.0,POINT (-122.7 38.5),1,Fire Season,0.10960271549320184
681,2021.0,CDF,LNU,CREEK WEST,2021-06-09 00:00:00+00:00,2021-06-10 00:00:00+00:00,18.52191,123894.0703125,1364.23527499639,2,15.00397498983974,20.0,POINT (-122.7 38.5),1,Fire Season,0.2056492132041082
682,2021.0,CDF,LNU,SKY,2021-04-29 00:00:00+00:00,2021-04-29 00:00:00+00:00,58.34655,390167.83203125,2873.10910290913,1,14.743955501994504,20.0,POINT (-122.7 38.5),1,Off Season,0.20198543990981885
683,2021.0,CDF,LNU,MUSTANG,2021-06-13 00:00:00+00:00,2021-06-13 00:00:00+00:00,7.733727,51569.26953125,880.133007591212,1,7.825104656612133,11.0,POINT (-122.7 38.5),1,Fire Season,0.10449620491228319
684,2021.0,CDF,LNU,OAK,2021-06-14 00:00:00+00:00,2021-06-14 00:00:00+00:00,2.842491,18991.3828125,555.329177277388,1,4.860453344714859,7.0,POINT (-122.7 38.5),1,Fire Season,0.0627231424644638
685,2021.0,CDF,LNU,LEESVILLE,2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,5.558945,37438.7109375,787.935722957492,1,6.79113268514694,10.0,POINT (-122.7 38.5),1,Fire Season,0.08992714731013673
686,2021.0,CDF,LNU,SPRING,2021-07-09 00:00:00+00:00,2021-07-09 00:00:00+00:00,1.90975,12644.34375,467.641158883041,1,3.856481843542871,6.0,POINT (-122.7 38.5),1,Fire Season,0.04857680287775234
687,2021.0,CDF,LNU,COLEMAN,2021-07-18 00:00:00+00:00,2021-07-18 00:00:00+00:00,2.714847,17912.99609375,595.998096270343,1,4.738471391339902,7.0,POINT (-122.7 38.5),1,Fire Season,0.06100437043370579
688,2021.0,CDF,LNU,CREEK,2021-08-01 00:00:00+00:00,2021-08-01 00:00:00+00:00,3.695564,24640.68359375,937.817601900293,1,5.5843914320793,8.0,POINT (-122.7 38.5),1,Fire Season,0.07292370494224014
689,2021.0,CDF,LNU,MIDDLE,2021-08-13 00:00:00+00:00,2021-08-13 00:00:00+00:00,25.11647,165056.80078125,1627.57632004558,1,11.78018341043078,16.0,POINT (-122.7 38.5),1,Fire Season,0.1602247660102754
690,2021.0,CDF,LNU,I-80 LYNCH,2021-08-17 00:00:00+00:00,2021-08-17 00:00:00+00:00,1.08848,7141.3203125,528.153326474255,1,2.659059457932221,4.0,POINT (-122.7 38.5),1,Fire Season,0.031704666890023145
691,2021.0,CDF,LNU,CLOVER,2021-08-26 00:00:00+00:00,2021-08-26 00:00:00+00:00,6.763107,45186.42578125,818.171835047927,1,7.399728396819606,10.0,POINT (-122.7 38.5),1,Fire Season,0.09850249192727742
693,2021.0,CDF,LNU,CREEK,2021-08-29 00:00:00+00:00,2021-08-29 00:00:00+00:00,1.284499,8543.5234375,362.969167001321,1,2.982977118262329,5.0,POINT (-122.7 38.5),1,Fire Season,0.036268789692128246
694,2021.0,CDF,LNU,MOUNTAIN,2021-08-22 00:00:00+00:00,2021-08-22 00:00:00+00:00,1.039344,6912.84375,466.035335049479,1,2.5730944192182634,4.0,POINT (-122.7 38.5),1,Fire Season,0.030493386859850143
