objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,complex_name,shape__area,shape__length,duration_days,intensity,rescaled_intensity
113,2023.0,LRA,NEU,ERIC,2023-06-09 00:00:00+00:00,2023-06-09 00:00:00+00:00,44.0,,297833.75,3808.76400735729,0 days,13.744758037763747,18.0
114,2023.0,CDF,NEU,SPENCEVILLE,2023-07-26 00:00:00+00:00,2023-07-31 00:00:00+00:00,10.8,,71087.25,1270.33273404977,5 days,19.961306292846277,26.0
115,2023.0,CDF,NEU,DOOLITTLE,2023-07-31 00:00:00+00:00,2023-07-31 00:00:00+00:00,16.6,,16168.75390625,721.610566392573,0 days,10.355154046699562,14.0
116,2023.0,CDF,TCU,GANN,2023-07-02 00:00:00+00:00,2023-07-02 00:00:00+00:00,106.0,,689467.51953125,5341.28042082055,0 days,16.872234366498752,22.0
117,2023.0,CDF,MEU,HAZEL,2023-08-29 00:00:00+00:00,2023-08-29 00:00:00+00:00,0.46,,3168.8984375,219.283288108808,0 days,1.3664245925733076,3.0
118,2023.0,CDF,SLU,BITTER,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,695.1143,,4249745.02734375,11155.5890220942,1 days,27.908570976707708,36.0
119,2023.0,CDF,SLU,BEAR,2023-09-26 00:00:00+00:00,2023-09-26 00:00:00+00:00,0.3076231,,1873.50390625,190.523100788468,0 days,0.9684326245210145,2.0
120,2023.0,CDF,SLU,HILL,2023-10-21 00:00:00+00:00,2023-10-21 00:00:00+00:00,6.247237,,38117.00390625,853.701855187138,0 days,7.151447432521793,10.0
121,2023.0,CDF,SLU,ESTRELLA,2023-06-10 00:00:00+00:00,2023-06-10 00:00:00+00:00,1.184759,,7278.50390625,386.276613674756,0 days,2.8217905776811794,5.0
122,2023.0,CDF,SLU,GREEN,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,247.2606,,1514331.9921875,6555.8168957239,3 days,28.46041424582102,37.0
123,2023.0,CDF,SLU,SHORES,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,14.83849,,91436.52734375,1464.35897895176,0 days,9.974383456981082,14.0
124,2023.0,CDF,SLU,DIABLO,2023-10-30 00:00:00+00:00,2023-10-30 00:00:00+00:00,25.73028,,156659.0078125,2154.1185563484,0 days,11.864063315119095,16.0
125,2023.0,CDF,SLU,SUMMIT,2023-11-10 00:00:00+00:00,2023-11-11 00:00:00+00:00,6.738468,,40989.48046875,1206.44721854531,1 days,11.662862480209322,16.0
126,2023.0,CDF,SLU,BRIDGE,2023-11-12 00:00:00+00:00,2023-11-12 00:00:00+00:00,1.519355,,9182.49609375,512.688216096683,0 days,3.3363074730092195,5.0
127,2023.0,CDF,SLU,ROCK,2023-06-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,3.37118,,20769.66015625,606.999561211191,0 days,5.325917828521378,8.0
128,2023.0,CDF,SLU,ALMOND,2023-11-13 00:00:00+00:00,2023-11-13 00:00:00+00:00,31.01117,,189929.98828125,1938.03933584048,0 days,12.515030811697281,17.0
129,2023.0,CDF,SLU,VALLEY,2023-11-20 00:00:00+00:00,2023-11-20 00:00:00+00:00,9.52999,,58357.01953125,2106.67321306964,0 days,8.50043463073589,12.0
130,2023.0,LRA,SLU,JARDINE,2023-06-03 00:00:00+00:00,2023-06-03 00:00:00+00:00,1.171606,,7202.01171875,343.132091643185,0 days,2.799987158641524,5.0
131,2023.0,CDF,SLU,GREEN,2023-11-10 00:00:00+00:00,2023-11-10 00:00:00+00:00,4.502316,,27563.9921875,771.227189132719,0 days,6.156872767298192,9.0
132,2023.0,CDF,SLU,NEAL,2023-06-16 00:00:00+00:00,2023-06-16 00:00:00+00:00,2.214254,,13574.5,469.62829786856,0 days,4.215849142782551,6.0
